organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
Biocom,NGO,,,,,RMR,10996 Torreyana Road, Suite 200 ,San Diego,CA,92121,,,,,,Issues with consistancy here,,"To be recognized by each of our members as the most valued organization in strengthening and enhancing their potential for success. Biocom is ultimately a place where the regional life sciences community can come together, make connections, and work together as a united force to ensure growth and viability.",https://www.biocom.org/s/Home,https://twitter.com/BIOCOMCA,https://www.facebook.com/Biocom,https://www.linkedin.com/company/biocom,,
Biomass Energy Research Association,NGO,,,,,SETWG,"901 D Street, S.W",Suite 100,Washington,DC,20024,,,,,,501(c)(3),,"BERA is a non-profit membership organizationfounded in 1982 by North American industrial, institutional, and university researchers interested in the development and commercial utilization of renewable, environmentally sound biomass energy systems.",http://beraonline.org/,,,,,
BioNJ,NGO,,,,,RMR,1255 Whitehorse-Mercerville Road,Building B – Suite 514,Trenton,NJ,08619,,,,,,501(c)(6),,"BioNJ is a powerful network of 400 member companies representing research-based life sciences companies and stakeholders. Because Patients Can’t Wait, we are dedicated to propelling the rich innovation ecosystem in the New Jersey region to stimulate and support innovation, improve and save lives, and lower the hurdles of healthcare advancements for society.",http://bionj.org/,https://twitter.com/BioNJ_Org,https://www.facebook.com/BioNJ,https://www.linkedin.com/company/bionj,,https://www.youtube.com/user/BioNJvideos
Biophysical Society,NGO,,,,,"CNSF, Innovation Imperative, Innovation Deficit, AHGMR, InnovationP, RMR, SETWG, NDD",11400 Rockville Pike,Ste 800,Rockville,MD,20852,,,,,,501(c)(3),"Physical sciences, Biological & Life Sciences","Founded in 1958, the Biophysical Society encourages the development and dissemination of knowledge in biophysics. With a membership of more than 9,000 professionals in biophysics or in an allied scientific field, the organization participates in meetings and committee outreach activities.",http://www.biophysics.org/,https://twitter.com/BiophysicalSoc,https://www.facebook.com/biophysicalsociety,https://www.linkedin.com/groups?gid=1850977,,https://www.youtube.com/user/biophysicalsociety
Biotechnology Industry Organization (BIO),NGO,,,,,"Innovative Imperative, UMR, R&DTC, RMR, NCFAR, AFRI","1201 Maryland Ave, SW",Ste 900,Washington,DC,20024,,,,,,501(c)(6),"Industry, Innovation & Competitiveness, Biological & Life Sciences","BIO is the world's largest trade association representing biotechnology companies, academic institutions, state biotechnology centers and related organizations across the world. BIO members are involved with the R&D of innovative healthcare, agricultural, industrial and environmental biotechnology products. It engages in a number of advocacy and community-building activities for the benefit of its membership.",https://www.bio.org/,https://twitter.com/IAmBiotech,https://www.facebook.com/IAmBiotech,https://www.linkedin.com/company/biotechnology-industry-organization,https://www.linkedin.com/grp/home?gid=35214,https://www.youtube.com/user/BIOchannel
Bladder Cancer Advocacy Network,NGO,,,,,RMR,4915 St. Elmo Avenue, Suite 202,Bethesda,MD,20814,,,,,,501(c)(3),,"BCAN was founded in 2005 and is the only national advocacy organization devoted to advancing bladder cancer research and supporting those impacted by the disease. Since its founding, BCAN has been on the front-lines advocating for greater public awareness and increased funding for research to identify effective treatments and eventually, a cure for bladder cancer.",http://www.bcan.org/,https://twitter.com/B_C_A_N,https://www.facebook.com/BladderCancer/,https://www.linkedin.com/company/bladder-cancer-advocacy-network,,https://www.youtube.com/user/bcandotorg
Blue Cross Blue Shield of Massachusetts,NGO,,,,,FNCHS,401 Park Dr Landmark Center ,,Boston,MA,02115-0000,,,,,,501(c)(3),,"Health Insurance Company founded in 1937, Blue Cross Blue Shield of Massachusetts is an Independent Licensee of the Blue Cross and Blue Shield Association.",https://www.bluecrossma.com/,https://twitter.com/BCBSMA,https://www.facebook.com/BCBSMA,https://www.linkedin.com/company/blue-cross-blue-shield-of-massachusetts,,https://www.youtube.com/channel/UCxtKEeJPREsFwTrJ87VFfTQ/featured
Blue Faery: The Adrienne Wilson Liver Cancer Association,NGO,,,,,DCC,505 N Buena Vista St,,Burbank,CA,91505-3210,,,,,,501(c)(3),,"Blue Faery's mission is to prevent, treat and cure primary liver cancer, specifically Hepatocellular Carcinoma, through research, education and advocacy.",http://www.bluefaery.org/,,,,,
B'nai B'rith International,NGO,,,,,FNIA,"1120 20th St NW, Suite 300 N",,Washington,DC,20036,,,,,,501(c)(3),,"B’nai B’rith International is dedicated to improving the quality of life for people around the globe. We are a national and global leader in advancing human rights; Israel advocacy; ensuring access to safe and affordable housing for low-income seniors and advocacy on vital issues concerning seniors and their families; diversity education; improving communities and helping communities in crisis. B’nai B’rith is as vital today as we were upon our founding 172 years ago. Making the world a safer, more tolerant and better place is the mission that still drives our organization.",http://www.bnaibrith.org/,https://twitter.com/bnaibrith,https://www.facebook.com/bnaibrithinternational,https://www.linkedin.com/company/b%27nai-b%27rith-international?trk=biz-companies-cym,,https://www.youtube.com/user/BBInternational1
Boise State University,Universities,,,,,"CNSF, COMPETES, Innovation Imperative",1910 University Dr,,Boise,ID,83725,,,,,,,,"The students, faculty and staff at Boise State University are known for their grit and ambition. While we may be most famous for our iconic Blue Turf, we have built a metropolitan research university of distinction in the Northwest, with our faculty and student researchers working to answer some of the most intriguing questions facing us today.",http://www.boisestate.edu/,https://twitter.com/boisestatelive,https://www.facebook.com/BoiseStateLive,,,https://www.youtube.com/user/BoiseStateUniversity
Boston University,Universities,,,,,"CNSF, ESC, COMPETES, Innovation Imperative, RMR, FIES, CNSR, LEARN",1 Silber Way,,Boston,MA,02215,,,,,,,,"Boston University has over 32,500 undergraduate and graduate students from more than 130 countries, nearly 10,000 faculty and staff, 17 schools and colleges, and 250 fields of study, and two campuses.",http://www.bu.edu/,https://twitter.com/BU_Tweets,https://www.facebook.com/BostonUniversity,,,
Botanical Society of America,NGO,,,,,"Innovative Imperative, USGS",PO Box 299,,St Louis,MO,63166-0299,,,,,,501(c)(3),Biological & Life Sciences,"Founded in 1893, BSA is a membership society to promote botany, the field of basic science dealing with the study and inquiry into the biology of plants.",http://www.botany.org/,https://twitter.com/Botanical_,https://www.facebook.com/pages/Botanical-Society-of-America/65813304645?ref=nf,,,
Boulder Chamber of Commerce,NGO,,,,,BFRF,2440 Pearl St ,,Boulder,CO,80302-4632,,,,,,501(c)(6),,"Founded in 1905, the Boulder Chamber and its 1400+ members have been supporting local businesses, advocating for a strong business environment and sustaining economic vitality. The Boulder Chamber is working to help you and the business community succeed. Together, we build community through business.",http://boulderchamber.com/,https://twitter.com/boulderchamber,https://www.facebook.com/boulderchamber,,https://www.linkedin.com/groups/1290537/profile,https://www.youtube.com/user/boulderchamber
"Bracco Diagnostics, Inc",Business,,,,,DDNC,"259 Prospect Plains Road.,",,Monroe Township,NJ,08831,,,,,,,,"Our Company is committed to the discovery, development, manufacturing and marketing of imaging agents and solutions aimed at providing quality solutions in terms of diagnostic efficacy, patient safety and cost effectiveness.",http://imaging.bracco.com/us-en,,,,,
Brain Injury Association of America,NGO,,,,,"Innovation Deficit, CDCC",1608 Spring Hill Rd,Ste 110,Vienna,VA,22182,,,,  ,,501(c)(3),Health & Medical Sciences,"BIAA's mission is to advance brain injury prevention, research, treatment, and education and to improve the quality of life for all people affected by brain injury. We are dedicated to increasing access to quality health care and raising awareness and understanding of brain injury. With a network of state affiliates, local chapters, and support groups, we are the voice of brain injury.",http://www.biausa.org/,https://twitter.com/biaamerica,https://www.facebook.com/BrainInjuryAssociationofAmerica,https://www.linkedin.com/company/brain-injury-association-of-america,,
Brandeis University,Universities,,,,,"Innovation Imperative, FAHRQ, FNCHS",415 South St,,Waltham,MA,02453,,,,,,501(c)(3),,"Brandeis University is a community of scholars and students united by their commitment to the pursuit of knowledge and its transmission from generation to generation. As a research university, Brandeis is dedicated to the advancement of the humanities, arts and social, natural and physical sciences. As a liberal arts college, Brandeis affirms the importance of a broad and critical education in enriching the lives of students and preparing them for full participation in a changing society, capable of promoting their own welfare, yet remaining deeply concerned about the welfare of others.",http://www.brandeis.edu/,https://twitter.com/BrandeisU,https://www.facebook.com/brandeisuniversity,,,https://www.youtube.com/user/BrandeisUniversity
Breakthrough Institute,,,,,,GGA,436 14TH STREET,Suite 820,Oakland,CA,94612,,,,,,,,Breakthrough Institute is a pioneering research institute changing how people think about energy and the environment,http://thebreakthrough.org/,https://twitter.com/TheBTI,https://www.facebook.com/BreakthroughInstitute,,,
Breast Cancer Research Foundation,NGO,,,,,RMR,60 East 56th Street,8th Floor,New York,NY,10022,,,,,,501(c)(3),,"We’re The Breast Cancer Research Foundation, the highest-rated breast cancer org in the US. We fund research to find a cure for breast cancer in our lifetime.",http://www.bcrfcure.org/,https://twitter.com/BCRFcure,https://www.facebook.com/TheBreastCancerResearchFoundation,https://www.linkedin.com/company/the-breast-cancer-research-foundation,,https://www.youtube.com/user/BCRF4acure
Breastcancerorg,NGO,,,,,RMR,120 East Lancaster Avenue,Suite 201,Ardmore,PA,19003,,,,,,No records,,"Breastcancer.org is a nonprofit organization dedicated to providing the most reliable, complete, and up-to-date information about breast cancer.
Our mission is to help women and their loved ones make sense of the complex medical and personal information about breast health and breast cancer, so they can make the best decisions for their lives.",http://www.breastcancer.org/,https://twitter.com/Breastcancerorg,https://www.facebook.com/breastcancerorg/,https://www.linkedin.com/company/breastcancer.org,,https://www.youtube.com/channel/UCmX7zgjQFd7JiNJQ6ZJXJGQ
Bridgeport Regional Business Council,NGO,,,,,BFRF,10 Middle Street,,Bridgeport,CT,06604,,,,,,501(c)(6),,"Opening in 2000, the Bridgeport Regional Business Council is a member organization of 1,000 businesses across Fairfield County and beyond.",http://www.brbc.org/,https://twitter.com/brbc,https://www.facebook.com/BptRegionalBusinessCouncil,https://www.linkedin.com/company/bridgeport-regional-business-council,,
BrightFocus Foundation,NGO,,,,,FNIA,22512 Gateway Center Dr ,,Clarksburg,MD,20871-2005,,,,,,501(c)(3),,"BrightFocus Foundation is a nonprofit organization supporting research and providing public education to help eradicate brain and eye diseases, including Alzheimer's disease, macular degeneration, and glaucoma. We are working to save mind and sight. ",http://www.brightfocus.org/,https://twitter.com/_BrightFocus,https://www.facebook.com/BrightFocusFoundation,https://www.linkedin.com/company/brightfocus-foundation,,https://www.youtube.com/user/BrightFocusFdn
Brown University,Universities,,,,,"CNSF, COMPETES, Innovation Imperative, RMR, FNCHS, FNIA, CNSR",,,Providence,RI,02912,,,,,,501(c)(3),,"Located in historic Providence, Rhode Island and founded in 1764, Brown University is the seventh-oldest college in the United States. Brown is an independent, coeducational Ivy League institution comprising undergraduate and graduate programs, plus the Alpert Medical School, School of Public Health, School of Engineering, and the School of Professional Studies.",http://www.brown.edu/,https://twitter.com/BrownUniversity,https://www.facebook.com/BrownUniversity,https://www.linkedin.com/edu/school?id=19348,,https://www.youtube.com/user/Brownuniversity
"Building Bridges, Inc",NGO,,,,,FNCHS,PO Box 1310,,Thompson Falls,MT,59873,,,,,,501(c)(3),,"Helping families deal with the issues of addiction, defiant behavior, failing grades, learning disorders, and behavioral issues has been the focus of Building Bridges for over a decade. We understand the fracture these behaviors create and the damage they bring to the family. Guiding adolescents through this troubling time can be a daunting task. Often these issues reach a point beyond the family’s ability to cope. We can help.

Located in the scenic mountains of northwestern Montana, Building Bridges has been helping families cope with these issues since 1996. ",http://www.buildingbridgesinc.net/home.html,,https://www.facebook.com/BuildingBridgesTreatment/,,,
Business Council of Fairfield County,NGO,,,,,BFRF,1 Landmark Sq Ste 300 ,,Stamford,CT,06901-2601,,,,,,501(c)(6),,"Starting in 1970, the Business Council has mobilized Fairfield County's business, political and community leadership around issues critical to the region's viability as a business destination. As we navigate in this new millennium, The Business Counc",http://www.businessfairfield.com/,https://twitter.com/BizFairfield,https://www.facebook.com/BusinessFairfield,https://www.linkedin.com/company/the-business-council-of-fairfield-county,,https://www.youtube.com/user/BCFairfieldCounty
Business Roundtable,NGO,,,,,"TFAI, TAP, R&DTC, InnovationP","300 New Jersey Ave, NW",Ste 800,Washington,DC,20001,,,,,,501(c)(3),"Industry, Innovation & Competitiveness ",Business Roundtable (BRT) is an association of chief executive officers of leading U.S. companies working to promote sound public policy and a thriving U.S. economy. BRT's CEO members lead U.S. companies with $7.2 trillion in annual revenues and nearly 16 million employees.,http://businessroundtable.org/,https://twitter.com/BizRoundtable,https://www.facebook.com/BusinessRoundtable,https://www.linkedin.com/company/business-roundtable,,https://www.youtube.com/user/BusinessRoundtable
Business-Higher Education Forum,NGO,,,,,"Innovative Imperative, Innovation Deficit, TAP, InnovationP, COMPETES","2025 M St, NW",Ste 800,Washington,DC,20036,,,,,,501(c)(3),"Industry, Higher Education","BHEF is the nation's oldest membership organization of Fortune 500 CEOs, prominent college and university presidents, and other leaders dedicated to advancing innovative education and workforce solutions and improving U.S. competitiveness.",http://www.bhef.com/,https://twitter.com/bhef,,https://www.linkedin.com/company/business-higher-education-forum,,
California Institute of Technology,Universities,,,,,"InnovationP, CNSF, Innovation Imperative, CNSR",1200 E California Blvd,,Pasadena,CA,91125,,,,,,501(c)(3),,"Founded as Throop University in 1891 in Pasadena, California, and renamed the California Institute of Technology in 1920. The mission of the California Institute of Technology is to expand human knowledge and benefit society through research integrated with education. We investigate the most challenging, fundamental problems in science and technology in a singularly collegial, interdisciplinary atmosphere, while educating outstanding students to become creative members of society.",https://www.caltech.edu/,https://twitter.com/caltech,https://www.facebook.com/californiainstituteoftechnology,,,https://www.youtube.com/user/caltech
California Life Sciences Association ,NGO,,,,,RMR,250 E. Grand Ave.,Suite 26,South San Francisco,CA,94080,"1350 I Street, NW",Suite 830,Washington,DC,20005,501(c)(6),,"California Life Sciences Association (CLSA) is the leading voice for California’s life sciences sector. We work closely with industry, government, academia and other stakeholders to shape public policy, drive business solutions and grow California’s life sciences innovation ecosystem. ",http://califesciences.org/,https://twitter.com/califesciences,https://www.facebook.com/CLSA-California-Life-Sciences-Association-370918676736/,https://www.linkedin.com/company/california-healthcare-institute,,https://www.youtube.com/user/CHIinnovation/
California Polytechnic State University,Universities,,,,,Innovation Imperative,1 Grand Ave,,San Luis Obispo,CA,93405,,,,,,501(c)(3),,"The founding of California Polytechnic State University, with its “learn-by-doing” philosophy, began when local journalist Myron Angel gathered a group of citizens in 1894 to lobby for a state school in San Luis Obispo. On March 8, 1901, Governor Gage signed legislation to establish the California Polytechnic School. On a visit to San Luis Obispo on May 9, 1903, President Theodore Roosevelt praised the citizens for their support of the state school. The first classes met October 1, 1903.",http://www.calpoly.edu/,https://twitter.com/calpoly,https://www.facebook.com/CaliforniaPolytechnic,https://www.linkedin.com/edu/school?id=17816&trk=NUS-body-school-name,,https://www.youtube.com/user/CalPoly
"California State University, Fullerton",Universities,,,,,COMPETES,800 N State College Blvd,,Fullerton,CA,92831,,,,,,501(c)(3),,"California State University, Fullerton is a major regional university in a vital, flourishing area that includes Orange County, metropolitan Los Angeles and the expanding Inland Empire. The beautiful, 236-acre campus is set in Fullerton in north Orange County, about 25 miles from downtown Los Angeles and about 21 miles from nearby beaches.",http://www.fullerton.edu/,https://twitter.com/csuf,https://www.facebook.com/CSUFofficial,,,https://www.youtube.com/user/CSUFullerton
Cambridge Chamber of Commerce,NGO,,,,,BFRF,859 Massachusetts Avenue,,Cambridge,MA,02139-3076,,,,,,501(c)(6),,"The Cambridge Chamber of Commerce (CCC) is a 1,500-member not-for-profit organization dedicated to serving as the preeminent voice of business in Cambridge, Massachusetts. By representing the interests of a diverse membership, as well as stimulating new and existing business activities, the CCC has grown to be the second largest chamber in Massachusetts and the largest non-regional chamber in the area. Since it's founding in 1926, the CCC has actively engaged local business leaders in government & philanthropic activities, educated members, provided a forum for connecting businesses and addressed the ever-changing needs of the Cambridge community.",http://www.cambridgechamber.org/,https://twitter.com/CambridgeChambr,http://www.facebook.com/cambridgechamber,https://www.linkedin.com/company/cambridge-chamber-of-commerce,,
Campaign for Public Health Foundation,NGO,,,,,"CDCC, FAHRQ",Po Box 15305 ,,Washington,DC,20003,,,,,,501(c)(3),,This non-profit organization is working to highlight the role disease control and prevention efforts play in our national health system. We have had a great first year and look forward to many more successes in the years to come. ,,,https://www.facebook.com/CPHFoundation/,,,
Campaign for Tobacco Free Kids,NGO,,,,,CDCC,1400 I Street NW,Suite 1200,Washington,DC,20005,,,,,,,,The Campaign for Tobacco-Free Kids is a leading force in the fight to reduce tobacco use and its deadly toll in the United States and around the world.,http://www.tobaccofreekids.org/,https://twitter.com/tobaccofreekids,https://www.facebook.com/tobaccofreekids,,,
Cancer Research Institute,NGO,,,,,RMR,One Exchange Plaza,"55 Broadway, Suite 1802",New York,NY,10006,,,,,,501(c)(3),,Leading global efforts to harness the power of the immune system to conquer all cancers.,http://www.cancerresearch.org/,https://twitter.com/CancerResearch,https://www.facebook.com/CancerResearchInstituteInc,https://www.linkedin.com/company/the-cancer-research-institute,,https://www.youtube.com/user/cancerresearchinst
Cancer Support Community,NGO,,,,,RMR,"1050 17th Street, NW ",Suite 500,Washington,DC,20036,,,,,,501(c)(3),,"The Cancer Support Community ensures that all people impacted by cancer are empowered by knowledge, strengthened by action and sustained by community.",http://www.cancersupportcommunity.org/,https://twitter.com/CancerSupportCm,https://www.facebook.com/CancerSupportCommunity,https://www.linkedin.com/company/cancer-support-community,,https://www.youtube.com/user/CancerSupportComm
Capital Area Social Psychological Association,NGO,,,,,SHRC,PO Box 1448,,Cedar Park,TX, 78630,,,,,,,,"Capital Area Psychological Association is an association of mental health professionals who engage in continuing education, monthly meetings, and professional development.",http://www.austinpsychologists.net/,,,,,
Carcinogenesis Foundation,NGO,,,,,RMR,614 Overdell Drive,,Sugar Land ,TX,77479,,,,,,No records found,,The Mission of Carcinogenesis Foundation is to contribute to global efforts to understand genesis of cancers in order to prevent and cure them through Research and Education by fostering Community Participation and partnership.,http://carciknow.org/,,https://www.facebook.com/Carcinogenesis-Foundation-443982869013550/,,,
Carnegie Mellon University,Universities,,,,,"InnovationP, Innovation Imperative, COMPETES, CNSR",5000 Forbes Ave,,Pittsburgh,PA,15213,,,,,,501(c)(3),,"A private, global research university, Carnegie Mellon stands among the world's most renowned educational institutions, and sets its own course. Start the journey here. With cutting-edge brain science, path-breaking performances, innovative start-ups, driverless cars, big data, big ambitions, Nobel and Turing prizes, hands-on learning, and a whole lot of robots, CMU doesn't imagine the future, we create it. ",http://www.cmu.edu/,https://twitter.com/carnegiemellon,https://www.facebook.com/carnegiemellonu,https://www.linkedin.com/edu/school?id=19232,,https://www.youtube.com/cmu
Carson Leslie Foundation,NGO,,,,,RMR,16250 Knoll Trail Dr, #210 ,Dallas, TX ,75248,,,,,,501(c)(3),,The Carson Leslie Foundation is dedicated to raising funds for research leading to a cure for pediatric cancer and enriching the lives of teens in the battle. Please join us in fulfilling this mission. 100% of all proceeds given to The Carson Leslie Foundation will go to our mission.,http://carsonlesliefoundation.org/,https://twitter.com/carsonleslie3,https://www.facebook.com/carsonlesliefoundation,,,https://www.youtube.com/user/carsonlesliefound
Cary Chamber of Commerce,NGO,,,,,BFRF,Po Box 4351 ,,Cary,NC,27519-4351,,,,,,501(c)(6),,"The Cary Chamber of Commerce serves as the unified business voice of the Cary area. It provides leadership to support and facilitate a thriving business environment. The Chamber believes that such an environment is characterized by the strength and growth of resident business, by the quality and stability of their workforces and by the attractiveness of our market to businesses whose presence would be positive influence on our community.",http://www.carychamber.com/,https://twitter.com/CaryChamber,https://www.facebook.com/cary.chamber,https://www.linkedin.com/company/cary-chamber-of-commerce,,https://www.youtube.com/user/CaryChamber
Cary Institute of Ecosystem Studies,Universities,,,,,Innovation Imperative,2801 Sharon Turnpike,,Millbrook,NY,12545,,,,,,501(c)(3),,"Founded in 1983, the Cary Institute of Ecosystem Studies is one of the world’s leading independent environmental research organizations. Areas of expertise include disease ecology, forest and freshwater health, climate change, urban ecology, and invasive species.",http://www.caryinstitute.org/,https://twitter.com/caryinstitute,https://www.facebook.com/CaryInstitute,,,
Case Western Reserve University,Universities,,,,,"ESC, COMPETES, Innovation Imperative, RMR, AHGMR, FNCHS",10900 Euclid Ave,,Cleveland,OH,44106,,,,,,501(c)(3),,"Case Western Reserve University improves people's lives through preeminent research, education and creative endeavor. We realize this goal through scholarship that capitalizes on the power of collaboration; learning that is active, creative and continuous; and promotion of an inclusive culture of global citizenship.",http://www.case.edu/,https://twitter.com/cwru,https://www.facebook.com/casewesternreserve,,,https://www.youtube.com/user/case
C-Change,NGO,,,,,RMR,"1634 Eye Street, NW",Suite 800,Washington,DC,20006,,,,,,501(c)(3),,C-Change strives to leverage the expertise and resources of our members to eliminate cancer as a major public health problem at the earliest possible time.,http://c-changetogether.org/,https://twitter.com/cchangetogether,https://www.facebook.com/cchangetogether,https://www.linkedin.com/company/c-change_2?trk=hb_tab_compy_id_767766,,https://www.youtube.com/user/CChange10
Cedars-Sinai Health System,NGO,,,,,"RMR, AHGMR",8700 Beverly Blvd.,,Los Angeles,CA,90048,,,,,,501(c)(3),,"An international leader in providing the highest quality of patient-centered care, pioneering new treatments, and serving the community.",http://www.cedars-sinai.edu/,https://twitter.com/cedarssinai,https://www.facebook.com/CedarsSinai,https://www.linkedin.com/company/cedars-sinai-medical-center,,https://www.youtube.com/user/CEDARSSINAI
Celiac Disease Foundation,NGO,,,,,DDNC,20350 Ventura Blvd ,Suite 240,Woodland Hills,CA,91364-2469,,,,,,501(c)(3),,"Celiac Disease Foundation drives diagnosis, treatment, and a cure for celiac disease through advocacy, education, and research to improve the quality of life for all people affected by gluten-related disorders.",https://celiac.org/,https://twitter.com/celiacdotorg,https://www.facebook.com/CeliacDiseaseFoundation,,,https://www.youtube.com/user/celiacdiseasefndtn
Celiac Support Association,NGO,,,,,DDNC,413 Ash St,,Seward,NE,68434,,,,,,501(c)(3),,"CSA is a membership association pursuing a mission of helping to optimize the health of those with celiac disease and gluten sensitivities through research, education and support.",https://www.csaceliacs.org/index.jsp,https://twitter.com/csaceliacs,https://www.facebook.com/csaceliacs,,,https://vimeo.com/csaceliacs
Cell Signaling Technology,NGO,,,,,RMR,3 Trask Lane,,Danvers,MA,01923,,,,,,No records found,,Read more at https://celiac.org/about-cdf/mission-statement/#Hgy2QLkRJcYLRLVP.99,http://www.cellsignal.com/,https://twitter.com/cellsignal,https://www.facebook.com/cellsignal,https://www.linkedin.com/company/cell-signaling-technology,,https://www.youtube.com/user/cellsignaldotcom
Center for Health Care Strategies,NGO,,,,,FAHRQ,200 American Metro Blvd,Suite 119,Trenton,NJ,08619,,,,,,501(c)(3),,"Since 1995, the Center for Health Care Strategies (CHCS) has partnered with nearly every state in the country to promote innovations in publicly financed health care, especially for individuals with complex, high-cost needs.",http://www.chcs.org/,https://twitter.com/CHCS_Medicaid,https://www.facebook.com/CenterForHealthCareStrategies/,https://www.linkedin.com/company/center-for-health-care-strategies-inc-,,
Center for Health and Gender Equality,NGO,,,,,CPR,"1317 F St. NW, Suite 400",,Washington,DC,20004,,,,,,501(c)(3),Health & Medical Sciences,"In 1994, the United States and nearly 180 other countries gathered in Cairo at the International Conference on Population Development (ICPD) and committed--for the first time--to promoting and protecting women's and girls' sexual and reproductive rights as a universal human right. CHANGE was founded immediately following the ICPD to hold the U.S. government accountable for that commitment.",http://www.genderhealth.org/,https://twitter.com/genderhealth,https://www.facebook.com/genderhealth/,https://www.linkedin.com/company/center-for-health-and-gender-equity-change-,,
Center for Mississippi Health Policy,NGO,,,,,FNCHS,"120 North Congress St, Suite 700",,Jackson,MS,39201,,,,,,501(c)(3),,"The core functions of the Center include the following: Policy analysis, Information dissemination, Analysis of legislation and regulations, Sponsorship of health policy forums and other venues for dialogue. The focus of the Center is on the application of research to relevant health policy issues rather than the development of original research.",http://www.mshealthpolicy.com/,http://twitter.com/mshealthpolicy,,,,
Center for Naval Analyses (CNA Corporation),NGO,,,,,FNCHS,3003 Washington Blvd ,,Arlington,VA,22201-2194,,,,,,501(c)(3),,"Since 1943, the CNA Corporation is the federally funded research and development center for the United States Navy and Marine Corps",https://www.cna.org/,https://twitter.com/CNA_org,https://www.facebook.com/CNA.org,https://www.linkedin.com/company/cna_162957,,https://www.youtube.com/user/VisionCNA
Center for Policy on Emerging Technologies,NGO,,,,,"TFAI, Innovation Imperative, COMPETES","10 G St, NE",Ste 710,Washington,DC,20002,,,,,,501(c)(3),Think-tank,"C-PET is a Washington, DC think-tank addressing the implications of emerging technologies. ",http://www.c-pet.org/,https://twitter.com/cpet_dc,https://www.facebook.com/pages/Center-for-Policy-on-Emerging-Technologies/73050139903,,https://www.linkedin.com/grp/home?gid=975647,
Center for Regional Economic Competitiveness,NGO,,,,,FBLS,1700 N Moore St. Suite 2225,,Arlington,VA,22209,,,,,,501(c)(3),Innovation & Competitiveness ,"The Center for Regional Economic Competitiveness (CREC) is an independent, not-for-profit organization founded to provide policy-makers from around the world with the information and technical assistance they need to formulate and execute innovative, regional, job-creating economic strategies.",http://creconline.org/,https://twitter.com/crecnet,,https://www.linkedin.com/company/center-for-regional-economic-competitiveness,,
Center for Science in the Public Interest,NGO,,,,,"CDCC, FNCHS",1220 L St Nw,Suite 300,Washington,DC,20005,,,,,,501(c)(3),,"CSPI has long sought to educate the public, advocate government policies that are consistent with scientific evidence on health and environmental issues, and counter industry’s powerful influence on public opinion and public policies.",http://cspinet.org/index.html,https://twitter.com/CSPI,https://www.facebook.com/cspinet/?ref=ts,,,
Center for Studying Health System Change,NGO,,,,,FNCHS,,,,,,,,,,,,,"On Dec. 31, 2013, HSC merged with Mathematica Policy Research and ceased operations as an independent organization. Founded in 1995, the Center for Studying Health System Change (HSC) worked to fulfill a vision set out by leaders at the Robert Wood Johnson Foundation. That vision was based on the premise that rigorous information and analysis built up from the community level could inform national health policy making. For almost 20 years as a subsidiary of Mathematica Policy Research, HSC pursued that mission, conducting policy research and analysis focused on the U.S. health care system to help policy makers in government and private industry make better decisions.",http://www.hschange.com/,,,,,
Central Michigan University College of Medicine,Universities,,,,,AHGMR,1200 S Franklin St,,Mt. Pleasant,MI ,48859,,,,,,501(c)(3),,"The Central Michigan University College of Medicine ​was founded to produce ​high-quality physicians for u​nderserved rural and u​rban communities in the U.S. Midwest region, particularly in central and northern Michigan. ",https://www.cmich.edu/colleges/cmed/Pages/default.aspx,https://twitter.com/CMU_Medicine,https://www.facebook.com/CMEDatCMU,,,
CEO Council for Growth,NGO,,,,,BFRF,"200 S. Broad St., Suite 700",,Philadelphia ,PA,19102,,,,,,501(c)(6),,"The CEO Council for Growth (CEO Council) is a devoted group of business, higher education, and civic leaders who commit their time and efforts to enhancing economic growth and prosperity in the 11-county region across northern Delaware, southern New Jersey and southeastern Pennsylvania. The CEO Council is an initiative of the Greater Philadelphia Chamber of Commerce influencing regional and national policy through advocacy.",http://www.ceocouncilforgrowth.com/,,,,,
Cerebral Palsy Foundation,NGO,,,,,FNICHD,3 Columbus Cir Fl 15 ,,New York,NY,10019-8716,,,,,,501(c)(3),,"Cerebral Palsy Foundation transforms lives for people with cerebral palsy today – through research, innovation and collaboration.",http://yourcpf.org/,https://twitter.com/yourcpf,https://www.facebook.com/cerebralpalsyfoundation,,,https://www.youtube.com/channel/UCbUur7lQTVFMeSJGsdOnyeA
Chamber of Business & Industry of Centre County (CBICC),NGO,,,,,BFRF,200 Innovation Blvd Suite 150,,State College,PA,16803-6602,,,,,,501(c)(6),,"The Chamber of Business & Industry of Centre County is a membership organization comprised of businesses ranging in size from large international corporations to sole proprietorships, and everything in between. With over 1,000 members, the Chamber of Business & Industry of Centre County is one of the largest and most influential chamber/economic development organizations in Pennsylvania.",http://www.cbicc.org/,,https://www.facebook.com/cbicc/,https://www.linkedin.com/company/chamber-of-business-and-industry-of-centre-county,,
